اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
عاصفة على الريف,1941,nan,110,ملخص,"يوسف وهبي,أمينة رزق,راقية إبراهيم,زوزو نبيل,حسين رياض,فاخر فاخر,محمود المليجي,عبدالعزيز خليل,مختار عثمان,حسن البارودي","بديع خيري,أحمد بدرخان,يوسف وهبي",nan,فرانسوا فاراكاش,ألبير نجيب,ولي الدين سامح,nan,"يوسف صالح,زكريا أحمد",أحمد بدرخان,ستوديو مصر
عريس من استنبول,1941,nan,115,طلب جد فاروق باشا حفيد محسن تزوج ٱبن عم سميره عاش مصر حرم ميراث محسن مضض اتي مصر صحبه والد شجع زواج ضاع ميراث فتاه هٰذا زيجه رفض راوند محسن اوصي خادم حكمت ٱنتحال شخص ٱختبر عريس استنبولي فعل محسن شيء تبادل وساءقه راشد دور تحدث موقف هزلي ضاحك ملابسه ٱختلاط شخص عرف الساءق مزيف خادم مزيف تحاب قابل والد فتاه زوجه وخي متوفي وقع جرام اخير عشق الساءق حقيقي راشد خادم حقيقي حكمت نهايه وصل جد كشف الحقاءق اصر تنفيذ شرطه حرم ميراث وافق حدث زواج جماعي الساءق خادم عم زوجه وخي متوفي عريس استنبولي عروس مصري نظر فاطمه وماريكا وراشيل,"يوسف وهبي,راقية إبراهيم,بشارة واكيم,مختار عثمان,محمود المليجي,فاخر فاخر,فيكتوريا حبيقة,حسين إبراهيم,لطفية نظمي,عبدالغني السيد,محمد الكحلاوي,حياة محمد,ببا إبراهيم,لطفي الحكيم,فتحية علي,زكي إبراهيم",يوسف وهبي,نحّاس فيلم,"سام بريل,عبدالحليم نصر",nan,ستوديو وهبى,nan,nan,"يوسف وهبي,أحمد كامل مرسي,عبدالسلام النابلسي",nan
إلى الأبد,1941,nan,110,ٱلتقي محسن ثري منافس دود عاصم انشا مشاده كلام افقد محسن ممرض فقير سنيه اسعاف شعر بالامتنان ربط حب قدم هديه قرر زواج شعر كوثر هانم تقرر افساد زيجه ساعد عاصم ايهام محسن وجود علاقه عاصم سنه دب خلاف زوج ٱعتقد محسن خان,"فاطمة رشدي,سليمان نجيب,راقية إبراهيم,زوزو حمدي الحكيم,عباس فارس,زكي رستم,عبدالعزيز خليل,فردوس محمد,ماري منيب,محمود رضا,حسن كامل,محمد عطيه,صفا الجميل (صفا محمد),عزيز عيد","كمال سليم,سليمان نجيب,بديع خيري",nan,فرنسوا فاركاش,كمال الشيخ,ولي الدين سامح,nan,nan,كمال سليم,ستوديو مصر
الفرسان الثلاثة,1941,كوميدي,105,بحبح شيح اقر زميل عمل جريده ٱشترط رءيس تحرير عامر عمل شرط زواج متزوج اخفي زواج فندق حلوان نقاهه ٱلتقي حسن بحث عم عريس ثري بدا نصب شبكه تصاعد حدث,"فوزي الجزايرلي,عقيلة راتب,إحسان الجزايرلي,فردوس محمد,محمد الديب,حسين المليجي,فؤاد شفيق,بشارة واكيم,أحمد الحداد,ألفريد حداد,حسن صالح,حسن راشد,لطفي الحكيم,علي عبدالعال","بديع خيري,توجو مزراحي (أحمد المشرقي)","عبدالحميد زكي,توجو مزراحي (أحمد المشرقي)","عبدالحليم نصر,محمود نصر",nan,"محمد جلال,عبدالحميد السخاوي",nan,nan,"توجو مزراحي (أحمد المشرقي),إبراهيم حلمي",منتخبات بهنا فيلم
ليلى بنت مدارس,1941,دراما,120,دار حدث فيلم يوسف محامي شهير شديد صرامه ٱستقبل قصر ٱبن عم ليلي يتيم انهي دراسه نقل ليلي جو مرح بهج قصر يوسف اقبل حياه وقع حب امر خاءنه حاول ليلي نصح ٱعتقد يوسف ليلي عشيق طرد بيت,"يوسف وهبي,ليلى مراد,ميمي شكيب,محسن سرحان,بشارة واكيم,زكي إبراهيم,عقيلة محمد,محمد كامل",توجو مزراحي (أحمد المشرقي),nan,"عبدالحليم نصر,محمود نصر",توجو مزراحي (أحمد المشرقي),عبدالحميد السخاوي,nan,"زكريا أحمد,محمد القصبجي,بديع خيري,أحمد رامي,رياض السنباطي","توجو مزراحي (أحمد المشرقي),إبراهيم حلمي,ألفريد مزراحي","القومية للتوزيع والتجارة فيلم (طه زعفران طنطاوى),منتخبات بهنا فيلم"
امرأة خطرة,1941,دراما,-,ملخص,"آسيا داغر,حسين صدقي,عباس فارس,روحية خالد,زينب صدقي,ليلى حلمى",nan,nan,nan,nan,nan,nan,nan,nan,منتخبات بهنا فيلم
مصنع الزوجات,1941,nan,115,حاول فاضل عاطل زميل عزيز حمدي شق طريق حياه حمل شهاده اعلي حظ اكل مسعي نجاح زار فاضل عم علوي ادار معهد خاص بنت طريق تقليدي طلب عمل معهد لٰكن رفض قرر تاسيس معهد حديث اشبه معهد عم منافس تعليم فتاه عصر لٰكن فشل فاضل عم نجح اداره معهد افاد وكيل معهد ٱعترض اداره حديث سميره تعضيد حمدي ساعد ٱشتد صراع قديم حديث,"كوكا,محمود ذو الفقار,دولت أبيض,أنور وجدي,عبدالفتاح القصري,إحسان الجزايرلي,عبدالعزيز خليل,فؤاد فهيم,ماري منيب,عبدالوارث عسر,ليلى فوزي,ثريا حلمي,أمينة نور الدين,محمد توفيق,عبدالعزيز أحمد,زوزو نبيل,إسماعيل يس,سعاد أحمد,محمد أمين,جمالات زايد,محمد إدريس,شهرزاد","نيازي مصطفى,فهيم حبشي,بديع خيري","عبدالفتاح حسن,ستوديو مصر","محمد عبدالعظيم,ستوديو مصر","نيازي مصطفى,جلال مصطفى","ولي الدين سامح,أنطوان بوليزويس",nan,"محمد حسن الشجاعي,زكريا أحمد,رياض السنباطي,محمود الشريف,عزت الجاهلي,محمد الكحلاوي,إبراهيم حسن,عبدالحليم نويرة,حليم الرومي,بديع خيري,عزيز صادق,إبراهيم حجاج","نيازي مصطفى,إبراهيم عمارة",ستوديو مصر
صلاح الدين الأيوبي,1941,nan,115,عقد مسلم والصليبيون هدنه ثني مرض ريتشارد قلب اسد ٱنتهز شب عرب فرصه ٱنضمام جيش اورشليم هءلاء سيف دين اخفي هوي عرف امير خالد ٱتجه شاب قدس ٱكتسب ثقه سلطان كلف بالس,"بدر لاما,بدرية رأفت,منسى فهمي,بشارة واكيم,محمود المليجي,أنور وجدي,حسن حلمي,عز الدين الترجمان, حليم الرومي,سيد نصير,حمدى مصطفى,ثريا فخري,يوسف صالح,إبراهيم عبده,فوزية أحمد,فاخر فاخر, فؤاد يوسف,صفية حلمي,حليم,سمير عبدالله لاما,احمد صادق",السيد زيادة,"كوندروفيلم,ستوديو لاما","إبراهيم شيب,جورج سعد","بدر لاما,ألبير نجيب","بدر عبدالله,محمد كمال الدين",فيفى أحمد,"حليم الرومي,سامى نعسان,محمود الشريف,فريد غصن,يوسف صالح",إبراهيم لاما,منتخبات بهنا فيلم
ألف ليلة وليلة,1941,مغامرات,115,صياد دعا عثمان عثر ثني صيد طفل صغير سله عاءمه ٱنتشل رب صيد قبض عثمان ادخل سجن قيام صيد منطقه محرم دخل ٱبن امير اطلاق سراح عثر عثمان قمقم ٱصطاد فتح خرج عفريت يكافء عثمان عصا سحري بلغ ٱبن مرجان خطر داهم انقاذ ٱكتشف حقيقه قصه هوي والد حقيقي,"علي الكسار,عقيلة راتب,حامد مرسي,علي عبدالعال,زكية إبراهيم,رياض القصبجي,لطفي الحكيم,عبدالعزيز الجاهلي,سعاد أحمد,عباس الدالي,عزيزة محمد,علي كامل,زوزو نبيل,توفيق صادق,زكي إبراهيم",توجو مزراحي (أحمد المشرقي),nan,عبدالحليم نصر,nan,nan,nan,nan,توجو مزراحي (أحمد المشرقي),nan
ليلى بنت الريف,1941,nan,115,سافر سطا عبدالرحمن صاحب ورشه ميكانزم زميل رحله صيد صحراء تارك زوجه زينب ٱبن مصطفي ام طريق هب عاصفه ٱختفي سطا ٱعتقد زوجه مات تولي حسن شقيق سطا امر ورشه ٱستطاع اداره توقف عمل مديون عامل جري حاول زوجه زينب اداره ورشه اتي شاب احمد اصلاح عرب ورشه ٱرتدي ملبس عامل وطد علاقه زوجه معتقد رجل ٱكتشف حقيقه وقع حب عرض زواج ميعاد عقد قرا اظهر سطا امر قرر احمد حياه عمل وطني ٱنضم جيش اضحي حب,"يوسف وهبي,ليلى مراد,بشارة واكيم,زوزو شكيب,أنور وجدي,فردوس محمد,حسن البارودي,تحية كاريوكا,فاخر فاخر,سلوى علام,عبدالسلام النابلسي,سعاد عبده,محمد كامل,لولا صدقي",توجو مزراحي (أحمد المشرقي),nan,"عبدالحليم نصر,ميشيل كروانة",توجو مزراحي (أحمد المشرقي),nan,nan,"زكريا أحمد,محمد حسن اسماعيل,بديع خيري,رياض السنباطي","توجو مزراحي (أحمد المشرقي),أحمد كامل مرسي,ألفريد مزراحي",القومية للتوزيع والتجارة فيلم (طه زعفران طنطاوى)
انتصار الشباب,1941,دراما,125,كافح وحيد ملحن شاب فريد اطرش اخت مطرب نادي اسمهان سبيل عثر عمل ملهي مدير بشاره واكيم طرد ٱمتناع نادي مجلس راءد عاني عذاب تشرد وقع نادي حب ثري محيي انور جدي ٱتفق زواج والد علوي جميل عارض وحيد احب فتاه ثري ٱتفق اخ زواج تزوج محيي نادي عابء ام نجح وحيد تقديم الاوبريت حلم اخراج,"أسمهان,فريد الأطرش,أنور وجدي,بشارة واكيم,عبدالسلام النابلسي,علوية جميل,إستيفان روستي,فؤاد شفيق,حسن فايق,حسن كامل,روحية خالد,إدمون تويما,عبدالفتاح القصري,ثريا فخري,عزيز صادق,سامية جمال,جراسيا قاصين,صالحة قاصين,محمود إسماعيل,محمود رضا,لطيفة أمين,عبدالعظيم كامل,عصمت عبدالعليم,ماري منيب,عبدالمنعم إسماعيل,لطفي الحكيم","بديع خيري,أحمد بدرخان,عمر جميعى",أفلام النيل (جبرائيل تلحمى),فرانسوا فاراكاش,"هنري بركات,جمال مدكور","ستوديو نصيبيان,جعفر والى",nan,فريد الأطرش,"أحمد بدرخان,محمد عبدالجواد",أفلام تلحمى (تلحمى اخوان)
سي عمر,1941,كوميدي,120,عمل جابر نجيب ريح موظف عزبه عمر طرد وظيفه ٱكتشف كثير تلاعب تزوير ايراد مصروف عزبه سفر قاهره بحث عمل قاد مصادفه البحته وصول منزل عاءله عمر دفع رد اسر ظن ٱبن عمر الغاءب راوند طويل نظر شابه كبير,"نجيب الريحاني,زوزو شكيب,عبدالفتاح القصري,محمد كمال المصري (شرفنطح),إستيفان روستي,ميمي شكيب,سراج منير,ماري منيب,عبدالعزيز أحمد,عبدالعزيز خليل,حسن كامل,فيكتوريا حبيقة,رشاد حامد,فيوليت صيداوي,بديعة صادق,عبدالعزيز الجاهلي,على عبدالقادر,اجلال زكي,فؤاد الرشيدي,علي عبدالعال,إسكندر منسي,علي كامل,محمد ابراهيم,أحمد شكري,حسن امام ,محمد السباعى","بديع خيري,نجيب الريحاني",nan,"محمد عبدالعظيم,مصطفى حسن,أحمد خورشيد","نيازي مصطفى,جلال مصطفى","روبرت شارفنبرج,علي عابد",nan,"محمد حسن الشجاعي,رياض السنباطي,بديعة صادق,إبراهيم حسين,محمد الكحلاوي","نيازي مصطفى,إبراهيم عمارة",ستوديو مصر
ابن الصحراء,1942,nan,110,ٱشتهر شيخ معروف حاكم القباءل صحراء حكم عدل رحم شرير حقد حسد ليل تمكن ٱعتقال قوم حكم ولد بدر دين القي تعليم قاهره ذٰلك تمكن هءلاء شرير ٱغتصاب حكم سلم زمام شيخ منصور بطحاء مغامر حاكم حقيقي وراء ستار فرض تاوه ضعيف اهل قبيل حتي ضج اخير بدر دين ٱبن شيخ معروف دراسه ٱستحق تولي شءون قبيل راس بدر دين كره ظهور ضعف تراخي فجاه ظهر رد قبيل فارس غريب مقنع اظهر وقت لزوم قهر شرير نصر ضعيف تقدم بطحاء شرير قتل رفع فارس مجهول لثام وجه سوي بدر دين ٱبن صحراء,"بدر لاما,روحية خالد,إحسان الجزايرلي,مختار عثمان,أنور وجدي,محمود المليجي,حسن كامل,درية أحمد",السيد زيادة,"أفلام لاما المصرية,ستوديو لاما",إبراهيم شيبا,"بدر عبدالله,أحمد إسماعيل",محروس زيادة,nan,"يوسف صالح,سامى نعسان,سامي نعمان","إبراهيم لاما,السيد زيادة",نحّاس فيلم
ليلة الفرح,1942,دراما,105,اطلق اب زوجه عاش ٱبنه سلمي تزوج فتاه صغير لعوب خان ممثل مسرحي دعا رياض باهي خيانه صديق المءلف مسرحي حازم يتصادف ٱلتقي سلمي حازم قطار مسافر عزبه والد ثري ذاهب زياره صديق رياض عزبه عرف سلمي امر خيانه زوجه اب رياض عرف حازم سلمي ٱبن رجل اغفل رياض زوجه تمسك حتي ربط حب قلب عرف زوجه الخاءنه جميل تقرر انقذ والد اخبر امر خيانه زوجه ثار غاضب اطلق اخير بدا سلمي بطل عمل مسرحي تاليف حازم جمع حب نهايه عرض,"عزيزة أمير,محمود ذو الفقار,بشارة واكيم,زوزو شكيب,نجمة إبراهيم,فردوس محمد,صفية حلمي,عزيزة حلمي","عزيزة أمير,محمود ذو الفقار","ستوديو نصيبيان,إيزيس فيلم","سامى بريل,حسن داهش",فاهى بوباجيان,محمد كامل,nan,على عزت صقر,محمد كريم,منتخبات بهنا فيلم
استوديو مصر,1942,nan,-,فيلم قصير انتاج استديو مصر اظهر عديد نجم سينما ٱرتجال كلمه استديو مصر اهميه مساهمه فعال انتاج كثير فيلم تحدث خاطر وجه كلام جمهور سينما,nan,nan,سليمان نجيب,nan,nan,nan,nan,nan,nan,nan
أحب الغلط,1942,دراما,100,دار قصه فيلم راقص شابه بدوي احب رقص سينما مخرج تعرض رقص صدفه قابل طبيب شاب علوي وقع حب عض دل مخرج حسن حظ بحث عمن دور بطوله فيلم جديد كليوباترا راوند اداء دور عرض علوي خطوبه بدوي توافق ثار والد خطبه هدد حرمان ميراث عرف بدوي ٱعتراض والد علوي راقص توالي حدث,"تحية كاريوكا,حسين صدقي,فؤاد شفيق,منسى فهمي,أنور وجدي,إسماعيل يس,فردوس محمد,أمينة شريف,بشارة واكيم,حسن أتلة,آمال حسين,عبدالرحمن فوزي,شفيق نور الدين,جينا","بديع خيري,حسين فوزي",إميل يزبك,"أحمد خورشيد,مسعود عيسى",حسين فوزي,"ستوديو لاما,كامل الحفناوي",nan,"بيرم التونسي,عبدالعزيز سلام,عبدالحليم نويرة,فريد غصن","حسين فوزي,فؤاد مشيل",نحّاس فيلم
لو كنت غني,1942,دراما,100,دار حدث فيلم حلاق فقير دعا محروس بشاره واكيم حلم طويل ثراء تحقق حلم مات قريب شحاذ منزل كثير مال يءدي حال عاءله محروس اكمل ٱنتقال عيش زمالك ادرك رد العاءله ٱنتظر جراء عمل الطاءشه,"بشارة واكيم,إحسان الجزايرلي,عبدالفتاح القصري,يحيى شاهين,سميرة كمال,محمد الديب,حسن كامل,إسكندر منسي,ثريا حلمي,إبراهيم مصطفى,إبراهيم محب,أحمد درويش,سعدية,سعاد حسين",أبو السعود الإبياري,لوتس فيلم (آسيا وشركاها),عبدالحليم نصر,هنري بركات,عبدالحميد السخاوي,nan,nan,"هنري بركات,يوسف معلوف",منتخبات بهنا فيلم
المتهمة,1942,دراما,105,نجح وكيل نيابه كامل ادانه عثمان رعي اعتي تاجر مخدر تقرر زوجه رعي ٱنتقم وكيل نيابه تحدث وقيعه زوجه سميح ٱعتقد كامل زوجه خان طلق طرد منزل ٱكتشف حقيقه حاول بحث عرف قفز نيل سافر ٱبن خارج بلد ٱنصرف سميح انقاذ غرق حياه جديد تعيس كشف قدر سنه حسبان,"آسيا داغر,زكي رستم,أشرف أباظة,يحيى شاهين,عبدالعزيز خليل,عبدالفتاح القصري,أمينة نور الدين,زينب  صدقى,آمال زايد,محمود رضا,فردوس محمد,سامية فهمي,عبدالرحمن جميل,إبراهيم مصطفى,حسين فياض,ثريا فخري,محمد كامل,محرم عثمان,محمد راغب,ببا إبراهيم,أحمد درويش,عبدالمنعم إسماعيل","هنري بركات,فتوح نشاطي,يوسف جوهر",لوتس فيلم (آسيا وشركاها),"سامى بريل,عبدالحليم نصر",هنري بركات,عبدالحميد السخاوي,nan,"زكريا أحمد,حسن مختار","هنري بركات,فؤاد شبل",منتخبات بهنا فيلم
ممنوع الحب,1942,رومانسي,120,وصل عزيز تلغراف كاذب وفاه والد عبد غفار باشا قطار قابل فكري ٱبن عدو دود والد عرف حقيقه ٱستدعاء بلد حتي ناصر والد حمل العداءيه اب مجد والد فكري حاول صلح طرف حاول قرب فكري توالي حدث,"محمد عبدالوهاب,رجاء عبده,عبدالوارث عسر,أمين وهبة,ليلى فوزي,ثريا فخري,عبدالعزيز خليل,زينات صدقي,محمد أمين,عزيزة بدر,منير الفنجري,حسن كامل,مديحة يسري,محمد راغب,عبدالحميد زكي,فرج النحاس,احمد مختار,عبدالمنعم إسماعيل,سامية جمال","عباس علام,محمد كريم",أفلام عبدالوهاب,محمد عبدالعظيم,nan,ولي الدين سامح,nan,"عزيز صادق,مأمون الشناوي,محمد عبدالوهاب,حسين السيد",محمد كريم,nan
