اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
ليلة الفرح,1942,دراما,105,اطلق اب زوجه عاش ٱبنه سلمي تزوج فتاه صغير لعوب خان ممثل مسرحي دعا رياض باهي خيانه صديق المءلف مسرحي حازم يتصادف ٱلتقي سلمي حازم قطار مسافر عزبه والد ثري ذاهب زياره صديق رياض عزبه عرف سلمي امر خيانه زوجه اب رياض عرف حازم سلمي ٱبن رجل اغفل رياض زوجه تمسك حتي ربط حب قلب عرف زوجه الخاءنه جميل تقرر انقذ والد اخبر امر خيانه زوجه ثار غاضب اطلق اخير بدا سلمي بطل عمل مسرحي تاليف حازم جمع حب نهايه عرض,"عزيزة أمير,محمود ذو الفقار,بشارة واكيم,زوزو شكيب,نجمة إبراهيم,فردوس محمد,صفية حلمي,عزيزة حلمي","عزيزة أمير,محمود ذو الفقار","ستوديو نصيبيان,إيزيس فيلم","سامى بريل,حسن داهش",فاهى بوباجيان,محمد كامل,nan,على عزت صقر,محمد كريم,منتخبات بهنا فيلم
أحب الغلط,1942,دراما,100,دار قصه فيلم راقص شابه بدوي احب رقص سينما مخرج تعرض رقص صدفه قابل طبيب شاب علوي وقع حب عض دل مخرج حسن حظ بحث عمن دور بطوله فيلم جديد كليوباترا راوند اداء دور عرض علوي خطوبه بدوي توافق ثار والد خطبه هدد حرمان ميراث عرف بدوي ٱعتراض والد علوي راقص توالي حدث,"تحية كاريوكا,حسين صدقي,فؤاد شفيق,منسى فهمي,أنور وجدي,إسماعيل يس,فردوس محمد,أمينة شريف,بشارة واكيم,حسن أتلة,آمال حسين,عبدالرحمن فوزي,شفيق نور الدين,جينا","بديع خيري,حسين فوزي",إميل يزبك,"أحمد خورشيد,مسعود عيسى",حسين فوزي,"ستوديو لاما,كامل الحفناوي",nan,"بيرم التونسي,عبدالعزيز سلام,عبدالحليم نويرة,فريد غصن","حسين فوزي,فؤاد مشيل",نحّاس فيلم
لو كنت غني,1942,دراما,100,دار حدث فيلم حلاق فقير دعا محروس بشاره واكيم حلم طويل ثراء تحقق حلم مات قريب شحاذ منزل كثير مال يءدي حال عاءله محروس اكمل ٱنتقال عيش زمالك ادرك رد العاءله ٱنتظر جراء عمل الطاءشه,"بشارة واكيم,إحسان الجزايرلي,عبدالفتاح القصري,يحيى شاهين,سميرة كمال,محمد الديب,حسن كامل,إسكندر منسي,ثريا حلمي,إبراهيم مصطفى,إبراهيم محب,أحمد درويش,سعدية,سعاد حسين",أبو السعود الإبياري,لوتس فيلم (آسيا وشركاها),عبدالحليم نصر,هنري بركات,عبدالحميد السخاوي,nan,nan,"هنري بركات,يوسف معلوف",منتخبات بهنا فيلم
المتهمة,1942,دراما,105,نجح وكيل نيابه كامل ادانه عثمان رعي اعتي تاجر مخدر تقرر زوجه رعي ٱنتقم وكيل نيابه تحدث وقيعه زوجه سميح ٱعتقد كامل زوجه خان طلق طرد منزل ٱكتشف حقيقه حاول بحث عرف قفز نيل سافر ٱبن خارج بلد ٱنصرف سميح انقاذ غرق حياه جديد تعيس كشف قدر سنه حسبان,"آسيا داغر,زكي رستم,أشرف أباظة,يحيى شاهين,عبدالعزيز خليل,عبدالفتاح القصري,أمينة نور الدين,زينب  صدقى,آمال زايد,محمود رضا,فردوس محمد,سامية فهمي,عبدالرحمن جميل,إبراهيم مصطفى,حسين فياض,ثريا فخري,محمد كامل,محرم عثمان,محمد راغب,ببا إبراهيم,أحمد درويش,عبدالمنعم إسماعيل","هنري بركات,فتوح نشاطي,يوسف جوهر",لوتس فيلم (آسيا وشركاها),"سامى بريل,عبدالحليم نصر",هنري بركات,عبدالحميد السخاوي,nan,"زكريا أحمد,حسن مختار","هنري بركات,فؤاد شبل",منتخبات بهنا فيلم
ممنوع الحب,1942,رومانسي,120,وصل عزيز تلغراف كاذب وفاه والد عبد غفار باشا قطار قابل فكري ٱبن عدو دود والد عرف حقيقه ٱستدعاء بلد حتي ناصر والد حمل العداءيه اب مجد والد فكري حاول صلح طرف حاول قرب فكري توالي حدث,"محمد عبدالوهاب,رجاء عبده,عبدالوارث عسر,أمين وهبة,ليلى فوزي,ثريا فخري,عبدالعزيز خليل,زينات صدقي,محمد أمين,عزيزة بدر,منير الفنجري,حسن كامل,مديحة يسري,محمد راغب,عبدالحميد زكي,فرج النحاس,احمد مختار,عبدالمنعم إسماعيل,سامية جمال","عباس علام,محمد كريم",أفلام عبدالوهاب,محمد عبدالعظيم,nan,ولي الدين سامح,nan,"عزيز صادق,مأمون الشناوي,محمد عبدالوهاب,حسين السيد",محمد كريم,nan
على مسرح الحياة,1942,دراما,95,عمل رشدي رمز مجال نشاط ٱجتماع حاول مساعد شقيق رمز مخطوب رجل خاءن روج شاءعه مفاد مريض سل فشل مشروع زواج ٱتفق رشدي رمز لعب زوج دور عاشق غرض تخفيف نجح خط ام تحول تمثيل حقيقه,"حسين رياض,روحية خالد,زينب صدقي,فردوس محمد,أنور وجدي,محمد عطيه,ثريا فخري,سعاد زكي,أمينة شريف,فرج النحاس,محمد كامل,إدمون تويما,سامية جمال,هاجر حمدي,سعاد أحمد,صالحة قاصين,صوفي ديمتري,مارى كافورى,عزيزة ابراهيم,روز زكى,رئيسة عفيفي,محمد ابراهيم,اجلال زكي,محمد الكحلاوي,عبدة السروجي,محمود إسماعيل,عبدالحليم مرسى,محمد راغب","عبدالحميد حمدي,حسن حلمي,عباس يونس,أحمد بدرخان,سيد كسّاب","ستوديو مصر,اندريه فينيو,فريد الجندي","محمد عبدالعظيم,وحيد فريد,عبدالله ياقوت,فيرى فاركاش (فرانسوا فاركاش)",صلاح أبو سيف,"سيد شاهين,أنطوان بوليزويس,ولي الدين سامح",nan,"فريد غصن,عبدالحليم علي,إبراهيم فوزي (إبراهيم جكله),بيرم التونسي,عبدالعزيز سلام,صالح جودت,محمد الكحلاوي,عبدالحميد توفيق زكي",كامل مدكور,nan
رباب,1942,دراما,110,عشيه ضحي ٱنقلب وضع راس عقب هروب رباب قسوه زوجه اب اقام رفقه ممثل عرف شاب احسان حاول ٱعتدي داخل سياره ٱنقلب القي مصرع محاوله والد ٱنتقام رباب تقرر هرب مره اخري مدينه قاهره عمل مدرسه ٱسم نجوي عرف زميل تزوج اظهر عبد جبار حاول ٱبتزاز هدد كشف حقيقه,"ماري كويني,أحمد جلال,عمر جميعى,حسين عيسى,حكمت فهمي,عباس فارس,زوزو نبيل,إبراهيم عبده,احمد فرج الكرانى,عباس الدالي,يوسف صالح,نادر جلال,محمد ابراهيم,بترو طنوس,أسعد مصطفى,عبد المنعم سعودي,إستر شطاح,محمود لطفي,فيكتوريا حبيقة,عباس كامل,سميرة كمال",أحمد جلال,أحمد جلال,سامى بريل,أميرة فايد,"هاجوب اصلانيان,كامل الحفناوى",nan,"يوسف صالح,عبدالحليم نويرة",أحمد جلال,منتخبات بهنا فيلم
اخيرا تزوجت,1942,دراما,-,دار حدث فيلم ٱجتماع درامي شاب مستهتر اسر ثري عاش عم ثري عقيم ٱضطر ظرف عمل مرتبه متطلبات تراكم دين عرض شخص عمل شرط متزوج ٱضطر شاب بحث زوجه وقع حب فعل,"سليمان نجيب,ميمي شكيب,تحية كاريوكا,فؤاد شفيق,عباس فارس,عبدالوارث عسر,ليلى فوزي","جمال مدكور,سليمان نجيب",ستوديو مصر,محمد عبدالعظيم,nan,nan,nan,nan,جمال مدكور,nan
أولاد الفقراء,1942,دراما,119,رفض فءاد باشا ساعد شقيق افلاس بورصه تخلي ٱبن زكي ٱبن عم حسن ٱعتداء ٱغتصاب ٱضطر فءاد تزويج لاح ابراهيم انجب حسن مولود شكا ابراهيم نسب هجر حسن مرور سنه حسن عمل راقص ملهي ليلي عمل ٱبنه مريض سل مغني ٱستيقظ ضمير زكي علاج ٱبنه قرر معي شقيق حسن تخليص ٱبنه عذاب مرض خنق نهر هرب ابراهيم حسن ٱستدل مكان شقيق معي حتي نال جزاء,"يوسف وهبي,أمينة رزق,محمود المليجي,روحية خالد,عباس فارس,عبدالمجيد شكري,فردوس محمد,فاخر فاخر,علوية جميل,منسى فهمي,رفيعة الشال,محمد كامل,فايد محمد فايد,حسن البارودي,مختار عثمان,محمد شوقي,توفيق صادق,لطفي الحكيم,محمود لطفي,عبدالقادر المسيرى,احمد مختار,عز الدين إسلام,فؤاد فهيم,سعيد خليل,محمد إدريس,زكي إبراهيم,عبدالعليم خطاب",يوسف وهبي,نحّاس فيلم,عبدالحليم نصر,nan,nan,nan,رياض السنباطي,nan,nan
الستات في خطر,1942,دراما,105,دار قصه فيلم سيده متزوج ابناء ٱكتشف خيانه زوج ذٰلك حدث امر زوجه صديق زوج قرر هجر فراش زوج تاديب زوج امر اجدي نفع زوج زوجه مجدد خيانه,"أنور وجدي,تحية كاريوكا,عبدالعزيز خليل,مختار عثمان,إحسان الجزايرلي,فوزي الجزايرلي,فؤاد الجزايرلي,سعاد زكي,سعاد أحمد,سعيد أبو بكر,عباس فارس","فؤاد الجزايرلي,إبراهيم عمارة",nan,مصطفى حسن,nan,ولي الدين سامح,nan,محمد الكحلاوي,إبراهيم عمارة,ستوديو مصر
ليلى,1942,رومانسي,125,قصر باشا دعا مطرب شهير ليلي احياء سهره حافله مدعو حفل ري فريد شاب نقي درس كليه حق باع حفل اتي فريد مربي عبدالمقصود افندي طلب عود بيت ٱستعد سفر قريه تالي لحظه اظهر مطرب ليلي ٱتجه نظر بهر فريد نجم فاتن ٱنتهاء غناء تعارف ليلي فريد طريق صديق حمدي ٱصطدم فريد سذاجه ٱكتراث ليلي هام حب ٱحتفظ احمر ورود القي ليلي غني حفل راوند عرف فريد ليلي مريض بيت قاهره قدم باقه اخذ بواب اخبر ليلي شفي منزل الحاح فريد عرف ليلي تنزه شاطء نيل روضه راقب بعيد صديق حمدي طلب قدم حفل حضر ليلي غني ليلي ٱنتهي غناء ٱنتاب نوبي سعلي حاد فريد طلب ٱعتني اخبر صاحب زهور ارسل تطور حدث حتي تبادل ليلي مشعر ربط حب اهمل فريد دراسه ٱستغرق حب ليلي ٱستاء والد ليلي ٱستعطف فريد رعي مستقبل دراسه رغم ليلي احب فريد ناي طريق وعد والد شاح مدعي احب اخر حدث حال ليلي صحي طلب والد فريد اتاح رءيه فريد اخير ٱعترف اب حقيقه ٱبن هرع فريد ليلي مات فراش مرض ٱحتضن باكي,"ليلى مراد,حسين صدقي,زكي إبراهيم,سرينا إبراهيم,عبدالمجيد شكري,بشارة واكيم,منسى فهمي,فردوس محمد,عبدالسلام النابلسي,فؤاد فهيم,محمود المليجي,آسيا داغر,زوزو شكيب,عبدالقادر المسيرى,إمام محمد,رفيعة الشال,زوزو شاكر,سعدية محمد,حسن مختار صقر,عبدالعزيز الجاهلي,احمد مختار,علي كامل,محمد كامل,حسن ابراهيم",توجو مزراحي (أحمد المشرقي),nan,عبدالحليم نصر,توجو مزراحي (أحمد المشرقي),nan,nan,محمد القصبجي,"توجو مزراحي (أحمد المشرقي),إبراهيم حلمي",منتخبات بهنا فيلم
علي بابا والأربعين حرامي,1942,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,110,دار حدث فيلم بابا عاني فقر عوز عاش شقيق قاسم رغد هناء توجه بابا تجاره ٱكتشف امر مغار سري فتح كلمه سري فتح سمسم حوي كنز احصي حاول احل ازمه مالي ٱحتوي مغار دخول قاسم صوره ٱنقلب امر محمود,"علي الكسار,ليلى فوزي,محمد عبدالمطلب,إسماعيل يس,عبدالمجيد شكري,زكية إبراهيم,رياض القصبجي,رفيعة الشال,حسن البارودي,نجية رياض,عبدالعليم خطاب,ليلى يوسف,فتحية علي,زكي إبراهيم,لطفي الحكيم,إبراهيم حشمت,عبده يوسف,عبدالغني النجدي,محمد حسين السني",توجو مزراحي (أحمد المشرقي),nan,"محمود نصر,جورج سعد,عبدالحليم نصر",nan,nan,nan,"عزت الجاهلي,رياض السنباطي","توجو مزراحي (أحمد المشرقي),إبراهيم حلمي",منتخبات بهنا فيلم
بنت ذوات,1942,دراما,110,ٱعتقد ابراهيم تربيه سراي باشا رد اسر بدد حلم رفض ٱبن باشا زواج فرقه مستوي ٱجتماع سعي ابراهيم ٱنتقام عمل جمع ثروه كبير ٱنتقم ٱبن باشا,"يوسف وهبي,بشارة واكيم,فاخر فاخر,حسن البارودي,لطفي الحكيم,عبدالمجيد شكري,ليلى فوزي,زكي إبراهيم,عباس فارس,راقية إبراهيم,محمد كامل,لطيفة أمين,إبراهيم حشمت",يوسف وهبي,نحّاس فيلم,"محمود نصر,عبدالحليم نصر",ألبير نجيب,nan,nan,"نادرة,محمد الكحلاوي,رياض السنباطي,علي محمود طه,فريد غصن,محمد عبدالوهاب",يوسف وهبي,نحّاس فيلم
العامل,1943,دراما,110,عمل سطا احمد عامل مصنع كبري اشد مدافع حق عامل ٱلتف بقي عامل دفاع قضيه حق صاحب مصنع حاول طيله دبر المكاءد تلو اخري سبيل ثني نضال,"حسين صدقي,فاطمة رشدي,زكي طليمات,عبدالعزيز أحمد,عبدالحميد زكي,عباس البليدي,سعيد أبو بكر,عثمان أباظة,مديحة يسري,لطيفة أمين,دولت فهمى,حسن البارودي,السيد بدير,سعدية محمود,رشدى محمد,بترو طنوس,محمود السباع,ثريا حلمي,محمد عثمان,أحمد البدوى","محمد عبدالجواد,حسين صدقي","أفلام مصر الحديثة ""حسين صدقي""","ديفيد كورنيل,مصطفى حسن",جلال مصطفى,عبدالسلام الشريف,nan,nan,"أحمد كامل مرسي,كامل الحفناوي,عبدالرؤوف الشافعي",منتخبات بهنا فيلم
جوهرة,1943,دراما,138,حاول ملحن شهر سمير جدي يوسف هيبي ٱنتحار نيل صدمه عاطفي فعل كتب ورق ذٰلك معني وضع جوار معطف سور كرنيش قابل فتاه فقير عمل جمع السبارس دعا فل نور هدي اقنع عدول كره ٱنتحار ٱصطحب فيل ٱكتشف صحافه راي ظن ٱنتحر ورق كتب سور كرنيش ٱستغل فرصه راوند جمهور ناقد ظن مات ثني فل اصل غناء قرر اطلق ٱسم فني ٱختار ٱسم جوهر صنع اوبريت غناءي وقع فل حب سمير ٱكتشف مطرب زميل سمير سابق زوزو شكيب سمير حي حاول القاء شبكه لٰكن ٱصطدم حب فل دبر مكيده خلص وجود جوار سمير فعل رحل فل بيت سمير لٰكن ٱكتشف خدعه مطرب زميل صد فضح امر كشف صحافه حي سمير حياه فني عرض فصيح حسن فايق وساطه مدير تياترو فءاد شفيق بطوله الاوبريت اعد فل فتاه احب فصيح فصيح تمويل الاوبريت وافق سمير بدا عمل سمير ٱكتشف موهوب صلح للاوبريت فتاه وقع حب ٱكتشف فصيح قرر منع ذهاب غناء ليل ٱفتتاح تنازل سمير كبرياء بيت اقنع غني فصيح رجل ضرب سمير القي بوابه فيلا اذ فل ٱلتقي قرر سمير غني الاوبريت حفظ افه حان حفظ سمير بيت فعل نجح الاوبريت نجاح مدوي لتهنءه فل ٱحتضن شاب ظن سمير شاب قرر سفر ثني ٱنتظار داخل قطار يفاجيء مدير تياترو فل شاب قابل غرفه اخبر مدير تياترو شاب شقيق فل عامل تياترو عرف فل وجود مكان ٱحتضن فرح سعاده قلب سمير قرر زواج فل,"نور الهدى,يوسف وهبي,زوزو شكيب,فؤاد شفيق,حسن فايق,سميرة كمال,فاخر فاخر,أمينة محمد,محمد كامل,لطفي الحكيم,توفيق صادق,عبدالعليم خطاب,محمد الديب,فيفي برسوم,رياض القصبجي,على طبنجات,إبراهيم حشمت,توفيق إسماعيل,صفا الجميل (صفا محمد),محمد الكحلاوي,إستر شطاح,محمد شوقي,رفيعة الشال,محمد نبيه,حالت فوزى",يوسف وهبي,نحّاس فيلم,"عبدالحليم نصر,محمود نصر",ألبير نجيب,nan,"عبدالعزيز نصار,أحمد حلمي","فريد غصن,رياض السنباطي,بديع خيري,أحمد رامي,بيرم التونسي,محمد الكحلاوي",يوسف وهبي,nan
حب من السماء,1943,رومانسي,110,سام فتاه مصاب شلل وقع حب مهندس لٰكن رفض عرض ظن اشفق اغري زواج ٱبن عم فتاه مستهتر تزوج فعل طبيب كبير علاج سام شفي تصاعد حدث,"نجاة علي,محمد أمين,إلهام حسين,حسين رياض,فؤاد شفيق,إبراهيم حشمت,إدمون تويما,محمد راغب,جمالات حسن,عبدة السروجي,سيد سليمان,عبدالرحمن شريف,السيد بدير,أمينة شريف,ميمى احمد,نبوية مصطفى,محمد توفيق,جينا,إسماعيل يس,محمد عطيه,سونيا,حالت فوزى,عيسى أحمد,فرج النحاس","عبد الفتاح حسن,محمد كامل حسن المحامي","ستوديو مصر,اندريه فينيو,عبدالحميد زكي","أحمد خورشيد,فيرى فاركاش (فرانسوا فاركاش),محمد عبدالعظيم",إحسان فرغل,ولي الدين سامح,nan,"عزيز صادق,محمد أمين,بيرم التونسي,حسين السيد,مأمون الشناوي,عبدالعزيز سلام",عبد الفتاح حسن,nan
